uid,formula,lattice_param,prototype,spacegroup,gap,workfunction
TiH2-2d25b4df71af,H2Ti,2.79011699,MoS2,P-6m2,0.015829217,4.822007834
WSe2-1cfbe6183886,Se2W,3.31900662,MoS2,P-6m2,1.237876337,4.23309166
SnI2-d9c422656482,I2Sn,4.41954169,MoS2,P-6m2,1.925838218,4.91350552
SrBr2-2876a0cb2478,Br2Sr,4.38883748,MoS2,P-6m2,4.313491129,5.358458043
ZrBr2-7897c7cc2491,Br2Zr,3.56228936,MoS2,P-6m2,0.8282377,3.237651922
TiI2-088e8488f895,I2Ti,3.76892376,MoS2,P-6m2,0.596277971,3.32952738
TiSe2-509ef368050d,Se2Ti,3.49528589,MoS2,P-6m2,0.521635551,5.831820182
TiF2-32023209e1ed,F2Ti,2.84516372,MoS2,P-6m2,1.287755287,4.44487141
HfSe2-d2d9fee03594,HfSe2,3.6768278,MoS2,P-6m2,0.812484621,5.858729165
MoSe2-f61b14d398c7,MoSe2,3.31974879,MoS2,P-6m2,1.321438186,4.572124553
TiTe2-9ebfacbfe4b5,Te2Ti,3.73677984,MoS2,P-6m2,0.035589567,5.150158088
WO2-94cfbb3f9284,O2W,2.83412183,MoS2,P-6m2,1.340382481,5.70570262
HfI2-05a69240794c,HfI2,3.77315511,MoS2,P-6m2,0.629699693,2.789320171
MoO2-152bd69757aa,MoO2,2.82049896,MoS2,P-6m2,0.91239669,6.213217789
CrSe2-9a6ff6a3c41a,CrSe2,3.21016617,MoS2,P-6m2,0.685242851,4.883730756
PbI2-9e6494406d07,I2Pb,4.50244627,MoS2,P-6m2,1.577068554,5.45161016
SrCl2-77398c835c11,Cl2Sr,4.22436151,MoS2,P-6m2,4.94446531,5.614657839
WTe2-3c87365bc48c,Te2W,3.55007622,MoS2,P-6m2,0.727112918,4.054942179
ZrCl2-dc09b7c396eb,Cl2Zr,3.4101147,MoS2,P-6m2,0.980598798,3.519301626
CdF2-c43f24bb6516,CdF2,3.51210863,CdI2,P-3m1,3.806965818,6.856292629
PdS2-02762a09ebbf,PdS2,3.5533947,CdI2,P-3m1,1.170939986,5.706192468
SnS2-42a44e4e7298,S2Sn,3.69595604,CdI2,P-3m1,1.587463778,6.029001039
BaBr2-74dc20d8f1ff,BaBr2,4.96316837,CdI2,P-3m1,4.902112603,4.784679314
CaBr2-819000a41305,Br2Ca,4.2987071,CdI2,P-3m1,4.862661453,5.017050006
CdCl2-3861891e1b05,CdCl2,3.89959943,CdI2,P-3m1,3.868284768,6.069644734
HgBr2-2af12bd12520,Br2Hg,4.14323541,CdI2,P-3m1,1.981668971,5.915710553
ZrSe2-7dc2a0a57b42,Se2Zr,3.79483788,CdI2,P-3m1,0.336549777,5.28904482
BaCl2-00a09165a480,BaCl2,4.81355379,CdI2,P-3m1,5.618229367,4.843351094
GeS2-6b1efcdcfd40,GeS2,3.44355853,CdI2,P-3m1,0.729021734,6.094814575
PbO2-e2a7fd3e05fc,O2Pb,3.40221397,CdI2,P-3m1,1.346309206,7.420200678
SnSe2-2c6d4c024ca0,Se2Sn,3.86484102,CdI2,P-3m1,0.762167626,5.616801024
