Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
-51.31380144,3.7516,0.3532,7.2119,6.8587,7.0323,-6.858,-7.212,ID
22.10962462,3.92556,1.2075,6.0778,4.8703,5.8742,-4.871,-6.102,ID
31.69234113,3.18917,1.2324,6.3973,5.1649,6.2039,-5.166,-6.432,ID
40.35361583,3.67045,1.194,5.6632,4.4692,5.4335,-4.468,-5.665,D
130.8551963,3.52796,0.0406,5.147,5.1064,5.13,-5.096,-5.149,ID
-21.35269075,3.17474,0.5374,6.5038,5.9664,6.2936,-5.967,-6.523,ID
92.68306631,3.69921,-0.0557,6.4138,6.4695,6.4235,-6.485,-6.41,M
-14.58681187,3.20277,0.3702,6.5856,6.2154,6.4242,-6.214,-6.646,ID
-11.92119677,3.69844,0.5848,7.161,6.5762,6.9405,-6.576,-7.162,ID
66.77091249,3.87117,1.1982,5.8102,4.612,5.5915,-4.566,-5.817,ID
68.8784472,3.8586,1.3357,5.7738,4.4381,5.568,-4.437,-5.784,ID
31.2047058,4.02579,0.8437,6.9583,6.1146,6.7491,-6.116,-6.964,ID
36.63155189,4.21632,0.9994,5.201,4.2016,4.9789,-4.201,-5.204,ID
50.80264684,4.17988,1.3366,6.3158,4.9792,6.104,-4.967,-6.319,ID
22.12511958,3.95661,0.4083,6.5163,6.108,6.3094,-6.108,-6.523,ID
39.95584748,4.29168,0.8297,6.0405,5.2108,5.8326,-5.21,-6.047,ID
19.36417393,4.00561,0.7724,5.9449,5.1725,5.719,-5.172,-5.944,ID
19.21665528,3.80898,0.0981,5.4749,5.3768,5.417,-5.377,-5.475,D
15.77513807,3.77303,0.1195,6.0797,5.9602,6.0013,-5.96,-6.069,ID
26.29823207,3.94939,0.7139,5.4119,4.698,5.1978,-4.697,-5.411,D
55.70580962,3.6185,1.1788,5.2673,4.0885,5.0573,-4.091,-5.282,ID
69.13926562,3.52447,1.0222,5.7657,4.7435,5.5745,-4.74,-5.787,ID
81.44341943,3.76268,0.8559,5.5488,4.6929,5.3557,-4.66,-5.577,ID
27.51641825,4.02686,0.5511,5.5566,5.0055,5.353,-5.005,-5.575,ID
65.81958054,4.00897,1.6603,5.3115,3.6512,5.0868,-3.651,-5.3,ID
40.23417847,4.13114,1.2625,5.3456,4.0831,5.129,-4.083,-5.352,ID
78.25806066,3.64544,1.2148,5.2378,4.023,5.0183,-4.023,-5.238,ID
44.78850412,3.77418,1.2152,6.5543,5.3391,6.3224,-5.345,-6.549,ID
24.9901711,3.82222,0.3801,6.6375,6.2574,6.4398,-6.256,-6.633,ID
48.05295299,4.09031,0.5389,6.5073,5.9684,6.2911,-5.968,-6.515,ID
31.33102135,3.9821,0.4235,6.1626,5.7391,5.9459,-5.738,-6.163,ID
44.19800525,4.1697,0.9565,6.0918,5.1353,5.8839,-5.136,-6.101,ID
84.40119796,3.93919,0.3645,6.1473,5.7828,5.9618,-5.783,-6.151,ID
56.30423305,3.93199,1.0741,5.7672,4.6931,5.5496,-4.647,-5.766,ID
-31.37970445,3.87095,0.0294,5.3921,5.3627,5.3774,-5.363,-5.391,D
-46.72275108,3.08959,0.5186,5.2834,4.7648,5.0946,-4.759,-5.315,ID
193.9493588,3.22947,0.144,4.7221,4.5781,4.7254,-4.565,-4.889,ID
28.83368039,3.70175,0.1182,6.1394,6.0212,6.0724,-6.021,-6.164,ID
107.3877681,2.77596,0.4007,5.7175,5.3168,5.5159,-5.311,-5.72,D
224.4142617,2.95598,1.4899,5.4394,3.9495,5.2241,-3.951,-5.44,D
50.4728859,3.63957,0.849,5.2822,4.4332,5.0642,-4.434,-5.283,D
225.9310087,3.66548,1.5974,5.0431,3.4457,4.8064,-3.447,-5.042,ID
219.1814096,4.07665,0.3299,5.465,5.1351,5.3001,-5.13,-5.461,ID
178.7343602,3.38247,0.2465,6.1694,5.9229,6.0582,-5.895,-6.219,ID
310.1983887,3.47757,0.728,5.2298,4.5018,4.9883,-4.473,-5.202,D
45.67633189,3.99169,1.0334,4.9134,3.88,4.6885,-3.88,-4.913,D
165.6647953,3.65493,0.8601,4.0032,3.1431,3.7924,-3.143,-4.003,ID
424.0991972,4.00599,1.5505,5.6188,4.0683,5.4085,-4.07,-5.62,ID
264.8478373,3.84874,1.4818,5.591,4.1092,6.4861,-4.109,-5.591,ID
49.71971915,3.27433,1.5913,6.0374,4.4461,5.8248,-4.446,-6.038,ID
104.8113078,3.63185,1.3322,5.8108,4.4786,5.5819,-4.476,-5.809,ID
68.72433016,3.66331,0.7348,5.7403,5.0055,5.5337,-4.917,-5.741,ID
273.1029209,3.45771,1.5375,5.0588,3.5213,4.839,-3.52,-5.06,D
150.5686397,3.68575,0.9702,3.7363,2.7661,3.4992,-2.766,-3.735,ID
114.3568848,3.38731,1.5212,5.3152,3.794,5.106,-3.795,-5.316,D
105.6707844,3.22308,1.0997,6.2941,5.1944,6.0644,-5.194,-6.293,ID
245.3969046,3.85648,0.761,3.2077,2.4467,2.981,-2.397,-3.207,ID
172.7533627,3.9155,0.9083,4.7622,3.8539,4.5329,-3.854,-4.762,D
222.8142348,3.4763,-0.3062,4.0717,4.3779,4.5684,-4.72,-4.381,M
58.85230134,3.72051,-0.0259,5.65,5.6759,5.6542,-5.623,-5.652,M
-13.85067005,3.13184,0.287,6.17,5.883,6.026,-5.884,-6.173,ID
145.5556171,3.96587,-0.0645,4.9872,5.0517,4.9868,-5.053,-4.989,M
36.01750817,3.62792,-0.0884,5.1796,5.268,5.2897,-5.279,-5.179,M
188.4120543,3.75211,-0.1265,4.9659,5.0924,5.0283,-5.015,-4.966,M
96.07446985,3.75764,-0.167,5.5482,5.7152,5.6196,-5.639,-5.561,M
412.4153096,3.65514,-0.7151,121.4453,122.1604,121.853,-124.985,-124.55,M
1412.185862,3.24426,-0.4601,11.2356,11.6957,7.8663,-8.208,-7.644,M
149.4901698,3.77843,-0.3533,4.9154,5.2687,5.2006,-5.215,-4.92,M
164.4636126,3.80388,-0.1406,4.2231,4.3637,4.3641,-4.354,-4.229,M
246.0685156,3.69965,-0.3097,4.8112,5.1209,5.0963,-5.107,-4.813,M
130.9615171,3.53497,-0.2611,4.7248,4.9859,4.9055,-5.001,-4.734,M
111.1823926,3.22754,-0.1139,5.303,5.4169,5.3036,-5.417,-5.303,M
295.758493,3.66946,-0.4069,5.1556,5.5625,5.4883,-5.484,-5.16,M
4217.063774,3.5079,-0.0208,34.0511,34.0719,22.1153,-22.485,-20.786,M
148.6374391,3.09417,0.2394,6.3065,6.0671,6.2012,-6.092,-6.31,ID
294.8710505,3.56939,-0.1478,4.9274,5.0752,5.0779,-5.067,-4.924,M
178.5573627,3.67376,-0.4025,5.3478,5.7503,5.6569,-5.682,-5.344,M
97.50225025,3.37182,-0.2103,5.9378,6.1481,6.1544,-6.148,-5.931,M
183.1383173,3.98193,-0.1957,4.9665,5.1622,5.089,-5.077,-4.978,M
174.2209372,3.8586,0.018,5.3932,5.3752,5.4355,-5.419,-5.468,ID
253.0030393,3.77527,-0.1965,4.9632,5.1597,5.1375,-5.141,-4.967,M
-55.17525931,2.89905,0.1453,6.992,6.8467,6.8868,-6.744,-7.02,ID
-6.187174596,3.19671,0.3314,6.4497,6.1183,6.2839,-6.117,-6.455,ID
309.5230758,4.0179,-0.2617,4.5262,4.7879,5.3668,-5.785,-5.254,M
183.3102135,3.73137,0.4445,6.0825,5.638,5.792,-5.482,-6.001,ID
67.45560073,4.01944,0.7844,4.907,4.1226,4.6815,-4.087,-4.906,ID
200.8694464,4.01419,0.9439,4.7676,3.8237,4.5265,-3.827,-4.77,D
187.77921,3.81109,0.3808,5.8701,5.4893,5.6992,-5.514,-5.884,ID
110.5654044,3.63663,-0.5224,4.7138,5.2362,5.049,-5.162,-4.726,M
113.1397457,4.06026,-0.0895,5.4269,5.5164,5.4608,-5.512,-5.422,M
25.43766018,4.13373,-0.2826,4.8455,5.1281,5.2298,-5.36,-5.143,M
236.708258,3.85382,-0.4647,5.8446,6.3093,6.03,-5.862,-6.204,M
344.6302307,4.14588,-0.1052,4.2099,4.3151,4.2772,-4.261,-4.205,M
134.5734467,4.07175,-0.2018,3.9897,4.1915,4.0067,-4.191,-3.987,M
25.81767168,3.63099,-0.4116,4.6037,5.0153,4.9336,-5.015,-4.603,M
1286.274274,3.13319,-1.0549,25.7851,26.84,25.7928,-25.944,-25.222,M
153.0392141,4.21851,0.1563,6.64,6.4837,6.5532,-6.491,-6.634,ID
50.22307616,4.01854,2.0692,5.7533,3.6841,5.5484,-3.686,-5.755,D
211.5562441,3.80889,0.396,5.5636,5.1676,5.3696,-5.169,-5.563,ID
41.47378219,3.79559,1.8529,6.2075,4.3546,5.9963,-4.354,-6.207,ID
97.80201989,3.89893,1.8506,6.2119,4.3613,6.0015,-4.361,-6.212,ID
37.48049225,3.75021,1.9427,6.2033,4.2606,5.9957,-4.261,-6.204,ID
54.60541668,3.8954,1.9168,5.7633,3.8465,5.5462,-3.847,-5.763,D
46.77811732,3.58068,1.6875,5.9893,4.3018,5.7694,-4.301,-5.988,D
49.38053757,3.94087,2.0553,5.7461,3.6908,5.5261,-3.691,-5.746,D
39.37122956,3.86414,1.7968,6.0715,4.2747,5.8263,-4.275,-6.064,ID
-10.44968374,4.18706,1.7633,6.2372,4.4739,5.9959,-4.435,-6.23,ID
37.01235395,3.7014,1.7815,6.0842,4.3027,5.852,-4.302,-6.084,D
50.95355962,3.37605,1.6761,5.8764,4.2003,5.6501,-4.201,-5.878,D
-12.84319925,4.01428,1.7241,6.2835,4.5594,6.0617,-4.523,-6.279,ID
-24.31585581,3.7664,2.0588,7.0214,4.9626,6.7817,-4.962,-7.015,ID
34.02997211,3.54677,1.8844,6.1102,4.2258,5.8926,-4.226,-6.111,D
78.82685168,4.0043,1.3585,4.7849,3.4264,4.5561,-3.417,-4.783,ID
